ID,LONGITUDE,LATITUDE,MOISTURE,CROP,ALTITUDE,DRY_BU_AC,Watershed,Treatment,Year_,Site
109,-93.277071,41.537599,1.19,"""SOYBEANS""",905.2,54.7096,Basswood1,A,2007,Basswood
110,-93.277072,41.537563,1.19,"""SOYBEANS""",905.2,57.9002,Basswood1,A,2007,Basswood
111,-93.277072,41.537524,1.19,"""SOYBEANS""",904.9,69.7554,Basswood1,A,2007,Basswood
112,-93.277071,41.537488,1.19,"""SOYBEANS""",904.5,68.1451,Basswood1,A,2007,Basswood
113,-93.277071,41.537449,1.19,"""SOYBEANS""",904.2,56.9824,Basswood1,A,2007,Basswood
114,-93.277072,41.537413,1.19,"""SOYBEANS""",903.5,57.3058,Basswood1,A,2007,Basswood
115,-93.277069,41.537374,1.19,"""SOYBEANS""",903.2,58.8581,Basswood1,A,2007,Basswood
116,-93.277069,41.537336,1.19,"""SOYBEANS""",902.6,66.4903,Basswood1,A,2007,Basswood
117,-93.277071,41.537298,1.19,"""SOYBEANS""",902.2,57.7313,Basswood1,A,2007,Basswood
118,-93.277074,41.537264,1.19,"""SOYBEANS""",902.2,71.094,Basswood1,A,2007,Basswood
119,-93.277004,41.537271,1.19,"""SOYBEANS""",899.9,52.2917,Basswood1,A,2007,Basswood
120,-93.277002,41.537309,1.19,"""SOYBEANS""",900.3,49.7118,Basswood1,A,2007,Basswood
121,-93.277007,41.537343,1.19,"""SOYBEANS""",900.9,44.2234,Basswood1,A,2007,Basswood
122,-93.277016,41.537371,1.19,"""SOYBEANS""",901.9,38.9745,Basswood1,A,2007,Basswood
123,-93.277022,41.537401,1.19,"""SOYBEANS""",902.6,28.7292,Basswood1,A,2007,Basswood
124,-93.277016,41.537434,1.19,"""SOYBEANS""",902.6,26.0116,Basswood1,A,2007,Basswood
125,-93.277004,41.537471,1.19,"""SOYBEANS""",902.9,42.8373,Basswood1,A,2007,Basswood
126,-93.276997,41.537513,1.19,"""SOYBEANS""",903.2,57.6314,Basswood1,A,2007,Basswood
127,-93.276994,41.537553,1.19,"""SOYBEANS""",903.5,53.3077,Basswood1,A,2007,Basswood
128,-93.276992,41.537593,1.19,"""SOYBEANS""",903.9,51.3886,Basswood1,A,2007,Basswood
129,-93.276991,41.537634,1.19,"""SOYBEANS""",903.5,50.4944,Basswood1,A,2007,Basswood
468,-93.276262,41.537599,1.19,"""SOYBEANS""",886.8,63.8789,Basswood1,A,2007,Basswood
469,-93.276276,41.537564,1.19,"""SOYBEANS""",886.8,64.465,Basswood1,A,2007,Basswood
470,-93.276282,41.537524,1.19,"""SOYBEANS""",886.2,62.5734,Basswood1,A,2007,Basswood
471,-93.276281,41.537484,1.19,"""SOYBEANS""",885.8,66.2794,Basswood1,A,2007,Basswood
472,-93.276269,41.537446,1.19,"""SOYBEANS""",885.8,65.9048,Basswood1,A,2007,Basswood
473,-93.276247,41.537416,1.19,"""SOYBEANS""",886.5,65.33,Basswood1,A,2007,Basswood
474,-93.276219,41.537386,1.19,"""SOYBEANS""",886.8,65.7333,Basswood1,A,2007,Basswood
475,-93.276172,41.537369,1.19,"""SOYBEANS""",886.5,63.5174,Basswood1,A,2007,Basswood
485,-93.276302,41.537284,1.19,"""SOYBEANS""",890.1,54.3744,Basswood1,A,2007,Basswood
486,-93.276354,41.537286,1.19,"""SOYBEANS""",891.1,50.7751,Basswood1,A,2007,Basswood
487,-93.276404,41.537286,1.19,"""SOYBEANS""",891.4,47.9341,Basswood1,A,2007,Basswood
488,-93.276452,41.537288,1.19,"""SOYBEANS""",892.1,53.9048,Basswood1,A,2007,Basswood
489,-93.276482,41.537288,1.19,"""SOYBEANS""",892.4,67.8414,Basswood1,A,2007,Basswood
490,-93.276494,41.537288,1.19,"""SOYBEANS""",892.4,19.7118,Basswood1,A,2007,Basswood
491,-93.276531,41.537286,1.19,"""SOYBEANS""",892.7,54.4975,Basswood1,A,2007,Basswood
492,-93.276572,41.537284,1.19,"""SOYBEANS""",893.4,58.4482,Basswood1,A,2007,Basswood
493,-93.276616,41.537283,1.19,"""SOYBEANS""",894,61.3633,Basswood1,A,2007,Basswood
494,-93.276664,41.537281,1.19,"""SOYBEANS""",894.4,69.0366,Basswood1,A,2007,Basswood
495,-93.276711,41.537279,1.19,"""SOYBEANS""",895,64.9924,Basswood1,A,2007,Basswood
496,-93.276759,41.537279,1.19,"""SOYBEANS""",895.7,62.949,Basswood1,A,2007,Basswood
497,-93.276806,41.537278,1.19,"""SOYBEANS""",896.3,57.8735,Basswood1,A,2007,Basswood
498,-93.276854,41.537274,1.19,"""SOYBEANS""",897.3,57.3939,Basswood1,A,2007,Basswood
499,-93.276904,41.537273,1.19,"""SOYBEANS""",898.3,59.616,Basswood1,A,2007,Basswood
500,-93.276879,41.537338,1.19,"""SOYBEANS""",897.3,71.9704,Basswood1,A,2007,Basswood
501,-93.276829,41.537339,1.19,"""SOYBEANS""",896.3,71.1963,Basswood1,A,2007,Basswood
502,-93.276779,41.537339,1.19,"""SOYBEANS""",895.3,62.6161,Basswood1,A,2007,Basswood
503,-93.276731,41.537343,1.19,"""SOYBEANS""",894.4,65.8552,Basswood1,A,2007,Basswood
504,-93.276684,41.537343,1.19,"""SOYBEANS""",893.4,57.6776,Basswood1,A,2007,Basswood
505,-93.276646,41.537343,1.19,"""SOYBEANS""",892.7,61.5031,Basswood1,A,2007,Basswood
506,-93.276604,41.537344,1.19,"""SOYBEANS""",892.1,59.4858,Basswood1,A,2007,Basswood
507,-93.276562,41.537349,1.19,"""SOYBEANS""",891.7,50.3587,Basswood1,A,2007,Basswood
508,-93.276516,41.537351,1.19,"""SOYBEANS""",891.1,56.772,Basswood1,A,2007,Basswood
509,-93.276472,41.537351,1.19,"""SOYBEANS""",890.7,60.0515,Basswood1,A,2007,Basswood
510,-93.276427,41.537349,1.19,"""SOYBEANS""",890.1,59.9057,Basswood1,A,2007,Basswood
511,-93.276384,41.537346,1.19,"""SOYBEANS""",889.8,58.6668,Basswood1,A,2007,Basswood
512,-93.276337,41.537344,1.19,"""SOYBEANS""",889.1,49.803,Basswood1,A,2007,Basswood
513,-93.276287,41.537343,1.19,"""SOYBEANS""",888.8,55.8333,Basswood1,A,2007,Basswood
514,-93.276234,41.537341,1.19,"""SOYBEANS""",888.1,33.1672,Basswood1,A,2007,Basswood
515,-93.276189,41.537341,1.19,"""SOYBEANS""",887.5,17.6071,Basswood1,A,2007,Basswood
520,-93.276451,41.537381,1.19,"""SOYBEANS""",889.1,25.0391,Basswood1,A,2007,Basswood
521,-93.276496,41.537394,1.19,"""SOYBEANS""",889.8,31.1746,Basswood1,A,2007,Basswood
522,-93.276539,41.537401,1.19,"""SOYBEANS""",891.1,36.5564,Basswood1,A,2007,Basswood
523,-93.276587,41.537404,1.19,"""SOYBEANS""",891.7,42.5153,Basswood1,A,2007,Basswood
524,-93.276637,41.537406,1.19,"""SOYBEANS""",892.4,68.861,Basswood1,A,2007,Basswood
525,-93.276684,41.537406,1.19,"""SOYBEANS""",894,76.9889,Basswood1,A,2007,Basswood
526,-93.276732,41.537404,1.19,"""SOYBEANS""",895,64.843,Basswood1,A,2007,Basswood
527,-93.276777,41.537403,1.19,"""SOYBEANS""",896.3,66.5272,Basswood1,A,2007,Basswood
528,-93.276826,41.537398,1.19,"""SOYBEANS""",897.3,67.4026,Basswood1,A,2007,Basswood
529,-93.276864,41.537394,1.19,"""SOYBEANS""",898.3,81.3111,Basswood1,A,2007,Basswood
530,-93.276892,41.537388,1.19,"""SOYBEANS""",899,50.793,Basswood1,A,2007,Basswood
531,-93.276911,41.537381,1.19,"""SOYBEANS""",899,69.484,Basswood1,A,2007,Basswood
532,-93.276919,41.537378,1.19,"""SOYBEANS""",899,86.389,Basswood1,A,2007,Basswood
533,-93.276972,41.537464,1.19,"""SOYBEANS""",901.9,22.276,Basswood1,A,2007,Basswood
534,-93.276944,41.537491,1.19,"""SOYBEANS""",901.6,41.6822,Basswood1,A,2007,Basswood
535,-93.276927,41.537523,1.19,"""SOYBEANS""",902.2,58.4063,Basswood1,A,2007,Basswood
536,-93.276916,41.537559,1.19,"""SOYBEANS""",902.2,62.0921,Basswood1,A,2007,Basswood
537,-93.276909,41.537598,1.19,"""SOYBEANS""",902.6,60.9563,Basswood1,A,2007,Basswood
538,-93.276906,41.537636,1.19,"""SOYBEANS""",902.6,62.2802,Basswood1,A,2007,Basswood
902,-93.276336,41.537618,1.19,"""SOYBEANS""",889.1,50.3219,Basswood1,A,2007,Basswood
903,-93.276352,41.537574,1.19,"""SOYBEANS""",888.8,57.8636,Basswood1,A,2007,Basswood
904,-93.276357,41.537533,1.19,"""SOYBEANS""",888.5,59.3658,Basswood1,A,2007,Basswood
905,-93.276362,41.537491,1.19,"""SOYBEANS""",888.5,54.7666,Basswood1,A,2007,Basswood
906,-93.276371,41.537459,1.19,"""SOYBEANS""",888.5,59.8329,Basswood1,A,2007,Basswood
907,-93.276377,41.537438,1.19,"""SOYBEANS""",888.5,76.421,Basswood1,A,2007,Basswood
908,-93.276382,41.537424,1.19,"""SOYBEANS""",888.5,63.6189,Basswood1,A,2007,Basswood
909,-93.276892,41.537433,1.19,"""SOYBEANS""",900.6,28.698,Basswood1,A,2007,Basswood
910,-93.276876,41.537464,1.19,"""SOYBEANS""",900.6,36.7305,Basswood1,A,2007,Basswood
911,-93.276856,41.537494,1.19,"""SOYBEANS""",900.9,42.3421,Basswood1,A,2007,Basswood
912,-93.276839,41.537524,1.19,"""SOYBEANS""",900.9,60.1244,Basswood1,A,2007,Basswood
913,-93.276829,41.537556,1.19,"""SOYBEANS""",901.2,59.3227,Basswood1,A,2007,Basswood
914,-93.276822,41.537593,1.19,"""SOYBEANS""",901.6,61.6449,Basswood1,A,2007,Basswood
915,-93.276819,41.537634,1.19,"""SOYBEANS""",901.6,58.8846,Basswood1,A,2007,Basswood
1221,-93.276592,41.537649,1.19,"""SOYBEANS""",896,70.0754,Basswood1,A,2007,Basswood
1222,-93.276592,41.537606,1.19,"""SOYBEANS""",895.7,69.1062,Basswood1,A,2007,Basswood
1223,-93.276591,41.537563,1.19,"""SOYBEANS""",895,79.8247,Basswood1,A,2007,Basswood
1224,-93.276592,41.537518,1.19,"""SOYBEANS""",894.4,76.3565,Basswood1,A,2007,Basswood
1225,-93.276764,41.537496,1.19,"""SOYBEANS""",899.3,58.2445,Basswood1,A,2007,Basswood
1226,-93.276749,41.537533,1.19,"""SOYBEANS""",899.6,63.6158,Basswood1,A,2007,Basswood
1227,-93.276741,41.537571,1.19,"""SOYBEANS""",900.3,65.0761,Basswood1,A,2007,Basswood
1228,-93.276737,41.537609,1.19,"""SOYBEANS""",900.6,63.6158,Basswood1,A,2007,Basswood
1229,-93.276737,41.537644,1.19,"""SOYBEANS""",900.9,58.8277,Basswood1,A,2007,Basswood
1234,-93.276679,41.537649,1.19,"""SOYBEANS""",899.3,7.6657,Basswood1,A,2007,Basswood
1235,-93.276669,41.537613,1.19,"""SOYBEANS""",898.6,36.8387,Basswood1,A,2007,Basswood
1236,-93.276672,41.537574,1.19,"""SOYBEANS""",898.3,42.3059,Basswood1,A,2007,Basswood
1237,-93.276677,41.537534,1.19,"""SOYBEANS""",897.6,43.8861,Basswood1,A,2007,Basswood
1238,-93.276677,41.537496,1.19,"""SOYBEANS""",897,46.6322,Basswood1,A,2007,Basswood
1239,-93.276509,41.537516,1.19,"""SOYBEANS""",893.7,60.1342,Basswood1,A,2007,Basswood
1240,-93.276507,41.537559,1.19,"""SOYBEANS""",894,61.5235,Basswood1,A,2007,Basswood
1241,-93.276507,41.537601,1.19,"""SOYBEANS""",894.7,62.721,Basswood1,A,2007,Basswood
1242,-93.276507,41.537643,1.19,"""SOYBEANS""",895,60.9997,Basswood1,A,2007,Basswood
1578,-93.276419,41.537638,1.19,"""SOYBEANS""",892.4,61.296,Basswood1,A,2007,Basswood
1579,-93.276421,41.537594,1.19,"""SOYBEANS""",892.1,63.2109,Basswood1,A,2007,Basswood
1580,-93.276424,41.537549,1.19,"""SOYBEANS""",891.4,42.9996,Basswood1,A,2007,Basswood
1581,-93.276431,41.537493,1.19,"""SOYBEANS""",891.1,38.1296,Basswood1,A,2007,Basswood
0,-93.276807,41.537146,1.2,"""CORN""",904.2,325.1517,Basswood1,A,2008,Basswood
1,-93.276739,41.537148,1.2,"""CORN""",903.5,332.7,Basswood1,A,2008,Basswood
2,-93.276671,41.537149,1.2,"""CORN""",902.6,333.5166,Basswood1,A,2008,Basswood
23,-93.276187,41.537351,1.879999,"""CORN""",890.4,116.8428,Basswood1,A,2008,Basswood
34,-93.276419,41.537206,1.799999,"""CORN""",895.7,217.3393,Basswood1,A,2008,Basswood
35,-93.276489,41.537206,1.82,"""CORN""",896.7,225.7247,Basswood1,A,2008,Basswood
36,-93.276559,41.537204,1.75,"""CORN""",897.6,228.0186,Basswood1,A,2008,Basswood
37,-93.276636,41.537204,1.799999,"""CORN""",898.3,191.8624,Basswood1,A,2008,Basswood
38,-93.276709,41.537203,1.789999,"""CORN""",899,208.3642,Basswood1,A,2008,Basswood
39,-93.276784,41.537203,1.769999,"""CORN""",899.9,204.6671,Basswood1,A,2008,Basswood
40,-93.276859,41.537199,1.789999,"""CORN""",900.9,214.8141,Basswood1,A,2008,Basswood
41,-93.276934,41.537198,1.789999,"""CORN""",901.9,212.1052,Basswood1,A,2008,Basswood
42,-93.277009,41.537196,1.82,"""CORN""",902.9,196.618,Basswood1,A,2008,Basswood
43,-93.277086,41.537196,1.84,"""CORN""",903.9,158.0819,Basswood1,A,2008,Basswood
44,-93.277147,41.537191,1.809999,"""CORN""",905.2,143.7043,Basswood1,A,2008,Basswood
45,-93.277102,41.537334,1.919999,"""CORN""",905.5,167.387,Basswood1,A,2008,Basswood
46,-93.277174,41.537279,1.779999,"""CORN""",906.8,156.7786,Basswood1,A,2008,Basswood
47,-93.277177,41.537333,1.71,"""CORN""",907.2,138.8219,Basswood1,A,2008,Basswood
48,-93.277177,41.537381,1.72,"""CORN""",907.5,163.8492,Basswood1,A,2008,Basswood
49,-93.276976,41.537249,1.759999,"""CORN""",901.6,114.0031,Basswood1,A,2008,Basswood
50,-93.276897,41.537253,1.799999,"""CORN""",899.9,123.3694,Basswood1,A,2008,Basswood
51,-93.276826,41.537254,1.799999,"""CORN""",898.6,140.3025,Basswood1,A,2008,Basswood
52,-93.276754,41.537258,1.82,"""CORN""",898,150.6719,Basswood1,A,2008,Basswood
53,-93.276679,41.537259,1.769999,"""CORN""",896.7,165.5237,Basswood1,A,2008,Basswood
54,-93.276606,41.537261,1.779999,"""CORN""",896.3,180.5551,Basswood1,A,2008,Basswood
55,-93.276531,41.537263,1.85,"""CORN""",895.3,199.0618,Basswood1,A,2008,Basswood
56,-93.276454,41.537263,1.889999,"""CORN""",894.7,208.5139,Basswood1,A,2008,Basswood
57,-93.276379,41.537264,1.87,"""CORN""",893.7,213.1915,Basswood1,A,2008,Basswood
58,-93.276302,41.537263,1.899999,"""CORN""",892.7,215.6905,Basswood1,A,2008,Basswood
66,-93.276249,41.537314,1.899999,"""CORN""",891.4,95.5978,Basswood1,A,2008,Basswood
67,-93.276334,41.537316,1.95,"""CORN""",892.4,106.901,Basswood1,A,2008,Basswood
68,-93.276421,41.537316,1.889999,"""CORN""",893,120.7017,Basswood1,A,2008,Basswood
69,-93.276506,41.537316,1.909999,"""CORN""",894,136.6719,Basswood1,A,2008,Basswood
70,-93.276584,41.537316,1.83,"""CORN""",895,160.0419,Basswood1,A,2008,Basswood
71,-93.276662,41.537314,1.82,"""CORN""",895.3,187.1543,Basswood1,A,2008,Basswood
72,-93.276741,41.537309,1.889999,"""CORN""",896.3,173.5881,Basswood1,A,2008,Basswood
73,-93.276821,41.537308,1.929999,"""CORN""",898,113.6095,Basswood1,A,2008,Basswood
74,-93.276904,41.537306,1.879999,"""CORN""",899.9,117.8269,Basswood1,A,2008,Basswood
75,-93.276934,41.537358,1.799999,"""CORN""",900.9,127.4305,Basswood1,A,2008,Basswood
76,-93.276849,41.537361,1.75,"""CORN""",899.3,119.3952,Basswood1,A,2008,Basswood
77,-93.276766,41.537361,1.74,"""CORN""",897.6,121.7387,Basswood1,A,2008,Basswood
78,-93.276682,41.537363,1.75,"""CORN""",896,116.0376,Basswood1,A,2008,Basswood
79,-93.276609,41.537364,1.769999,"""CORN""",894.4,126.5872,Basswood1,A,2008,Basswood
80,-93.276536,41.537366,1.769999,"""CORN""",893.7,129.2894,Basswood1,A,2008,Basswood
81,-93.276461,41.537368,1.75,"""CORN""",892.7,145.6031,Basswood1,A,2008,Basswood
82,-93.276764,41.537498,1.799999,"""CORN""",900.3,127.8542,Basswood1,A,2008,Basswood
83,-93.276766,41.537543,1.799999,"""CORN""",901.2,158.4709,Basswood1,A,2008,Basswood
84,-93.276767,41.537579,1.779999,"""CORN""",901.9,191.8196,Basswood1,A,2008,Basswood
85,-93.276776,41.537621,1.789999,"""CORN""",902.6,200.2689,Basswood1,A,2008,Basswood
199,-93.276701,41.537611,1.69,"""CORN""",900.9,154.4819,Basswood1,A,2008,Basswood
200,-93.276692,41.537556,1.69,"""CORN""",899.9,173.5312,Basswood1,A,2008,Basswood
201,-93.276689,41.537499,1.71,"""CORN""",899,180.0602,Basswood1,A,2008,Basswood
202,-93.277107,41.537474,1.909999,"""CORN""",906.5,207.7404,Basswood1,A,2008,Basswood
203,-93.277106,41.537521,1.879999,"""CORN""",907.2,205.7523,Basswood1,A,2008,Basswood
204,-93.277106,41.537568,1.879999,"""CORN""",907.5,213.1989,Basswood1,A,2008,Basswood
205,-93.277104,41.537616,1.909999,"""CORN""",907.5,224.6824,Basswood1,A,2008,Basswood
512,-93.277177,41.537579,1.75,"""CORN""",908.5,228.5316,Basswood1,A,2008,Basswood
513,-93.277177,41.537528,1.74,"""CORN""",908.1,217.3071,Basswood1,A,2008,Basswood
514,-93.277032,41.537586,1.87,"""CORN""",906.8,183.4765,Basswood1,A,2008,Basswood
515,-93.277031,41.537643,1.919999,"""CORN""",907.2,179.5308,Basswood1,A,2008,Basswood
633,-93.276959,41.537609,1.809999,"""CORN""",905.5,186.6937,Basswood1,A,2008,Basswood
634,-93.276962,41.537556,1.74,"""CORN""",905.5,170.7192,Basswood1,A,2008,Basswood
635,-93.276887,41.537469,1.71,"""CORN""",902.9,201.9879,Basswood1,A,2008,Basswood
636,-93.276886,41.537516,1.75,"""CORN""",903.5,210.4357,Basswood1,A,2008,Basswood
637,-93.276884,41.537563,1.769999,"""CORN""",904.2,226.6452,Basswood1,A,2008,Basswood
638,-93.276882,41.537611,1.74,"""CORN""",904.5,217.6438,Basswood1,A,2008,Basswood
639,-93.276881,41.537661,1.75,"""CORN""",904.5,211.252,Basswood1,A,2008,Basswood
745,-93.276809,41.537589,1.879999,"""CORN""",902.6,91.8648,Basswood1,A,2008,Basswood
746,-93.276626,41.537446,1.779999,"""CORN""",897.6,105.2152,Basswood1,A,2008,Basswood
747,-93.276627,41.537493,1.789999,"""CORN""",898.3,110.6218,Basswood1,A,2008,Basswood
748,-93.276629,41.537543,1.71,"""CORN""",899.3,136.2289,Basswood1,A,2008,Basswood
749,-93.276627,41.537594,1.69,"""CORN""",900.3,151.0239,Basswood1,A,2008,Basswood
750,-93.276622,41.537644,1.72,"""CORN""",900.9,165.3887,Basswood1,A,2008,Basswood
878,-93.276551,41.537609,1.83,"""CORN""",896.7,160.4925,Basswood1,A,2008,Basswood
879,-93.276552,41.537549,1.85,"""CORN""",895.7,150.9308,Basswood1,A,2008,Basswood
880,-93.276552,41.537489,1.83,"""CORN""",894.7,202.9564,Basswood1,A,2008,Basswood
881,-93.276477,41.537536,1.899999,"""CORN""",893,155.6766,Basswood1,A,2008,Basswood
882,-93.276477,41.537584,1.889999,"""CORN""",893.7,160.5067,Basswood1,A,2008,Basswood
883,-93.276476,41.537636,1.87,"""CORN""",894.4,164.6205,Basswood1,A,2008,Basswood
1024,-93.276402,41.537663,1.69,"""CORN""",892.4,166.7236,Basswood1,A,2008,Basswood
1025,-93.276404,41.537606,1.75,"""CORN""",891.7,143.014,Basswood1,A,2008,Basswood
1026,-93.276404,41.537549,1.85,"""CORN""",890.7,112.442,Basswood1,A,2008,Basswood
1027,-93.276402,41.537493,1.929999,"""CORN""",890.4,135.6049,Basswood1,A,2008,Basswood
1028,-93.276282,41.537446,1.87,"""CORN""",887.8,48.4529,Basswood1,A,2008,Basswood
1029,-93.276279,41.537494,1.879999,"""CORN""",887.8,44.6255,Basswood1,A,2008,Basswood
1030,-93.276267,41.537546,1.85,"""CORN""",887.8,76.5435,Basswood1,A,2008,Basswood
1031,-93.276259,41.537599,1.83,"""CORN""",888.5,94.9308,Basswood1,A,2008,Basswood
1241,-93.276329,41.537636,1.75,"""CORN""",890.7,145.5739,Basswood1,A,2008,Basswood
1242,-93.276337,41.537583,1.879999,"""CORN""",890.1,123.5593,Basswood1,A,2008,Basswood
1243,-93.276346,41.537531,1.919999,"""CORN""",889.8,92.4853,Basswood1,A,2008,Basswood
1244,-93.276352,41.537479,1.879999,"""CORN""",889.8,97.8899,Basswood1,A,2008,Basswood
0,-93.277018,41.537171,1.299999,"""SOYBEANS""",888.7,11.8693,Basswood1,A,2009,Basswood
1,-93.277007,41.537168,1.299999,"""SOYBEANS""",888.6,41.9964,Basswood1,A,2009,Basswood
2,-93.276996,41.537165,1.299999,"""SOYBEANS""",888.5,71.9515,Basswood1,A,2009,Basswood
3,-93.276955,41.537152,1.129999,"""SOYBEANS""",887.9,64.0999,Basswood1,A,2009,Basswood
4,-93.276928,41.537145,1.299999,"""SOYBEANS""",888,62.9815,Basswood1,A,2009,Basswood
5,-93.276914,41.537143,1.519999,"""SOYBEANS""",887.9,64.3859,Basswood1,A,2009,Basswood
6,-93.276899,41.537141,1.61,"""SOYBEANS""",887.8,58.448,Basswood1,A,2009,Basswood
7,-93.276881,41.537139,1.549999,"""SOYBEANS""",887.5,55.3355,Basswood1,A,2009,Basswood
8,-93.276848,41.537136,1.57,"""SOYBEANS""",886.7,56.271,Basswood1,A,2009,Basswood
9,-93.276831,41.537136,1.559999,"""SOYBEANS""",886.4,51.5304,Basswood1,A,2009,Basswood
10,-93.276794,41.537137,1.5,"""SOYBEANS""",886.1,53.1228,Basswood1,A,2009,Basswood
